,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
167,TextComment_CC,2022-05-17,6738,2022-06-09,1,143
168,TextComment_CC,2022-05-17,8421,2022-08-23,3,3844
169,TextComment_CC,2022-05-18,3803,2022-06-20,1,4909
170,TextComment_CC,2022-05-19,3884,2022-06-17,1,1852
171,TextComment_CC,2022-05-19,1767,2022-10-07,1,1108
172,TextComment_CC,2022-05-20,6953,2022-06-01,2,10749
173,TextComment_CC,2022-05-20,2453,2023-05-10,35,6924
174,TextComment_CC,2022-05-23,8948,2022-05-31,1,7374
175,TextComment_CC,2022-05-24,3152,2023-05-05,5,2212
176,TextComment_CC,2022-05-25,3471,2022-06-24,1,519
177,TextComment_CC,2022-05-25,6737,2022-07-27,5,10284
178,TextComment_CC,2022-05-26,7799,2022-05-27,1,4449
179,TextComment_CC,2022-05-26,2500,2022-05-31,1,12824
180,TextComment_CC,2022-05-26,1729,2022-06-04,1,3237
181,TextComment_CC,2022-05-26,3479,2022-06-08,2,11006
182,TextComment_CC,2022-05-26,519176,2022-08-15,2,780
183,TextComment_CC,2022-05-26,2411,2023-01-29,11,4239
184,TextComment_CC,2022-05-27,7799,2022-06-20,2,4507
185,TextComment_CC,2022-06-01,6953,2022-07-01,3,11111
186,TextComment_CC,2022-06-02,2500,2022-06-30,4,13457
187,TextComment_CC,2022-06-02,6463,2022-11-21,1,1818
188,TextComment_CC,2022-06-03,8948,2022-06-07,1,7507
189,TextComment_CC,2022-06-04,1729,2022-06-08,1,3309
190,TextComment_CC,2022-06-06,6315,2022-07-13,1,5275
191,TextComment_CC,2022-06-06,3442,2022-08-04,1,1008
192,TextComment_CC,2022-06-06,5595,2022-10-17,3,3265
193,TextComment_CC,2022-06-07,8948,2022-06-09,1,7657
194,TextComment_CC,2022-06-07,6049,2022-06-13,1,33555
195,TextComment_CC,2022-06-07,8863,2022-07-06,4,12085
196,TextComment_CC,2022-06-08,1866,2022-06-13,1,5514
197,TextComment_CC,2022-06-08,5721,2022-07-28,1,573
198,TextComment_CC,2022-06-08,6883,2022-08-10,1,137
199,TextComment_CC,2022-06-09,8948,2022-06-20,1,7849
200,TextComment_CC,2022-06-09,7721,2022-09-02,9,10233
201,TextComment_CC,2022-06-09,238010,2022-10-20,2,1028
202,TextComment_CC,2022-06-09,9062,2022-12-28,27,19043
203,TextComment_CC,2022-06-13,123010,2022-06-20,1,1774
204,TextComment_CC,2022-06-13,6049,2022-06-27,3,35933
205,TextComment_CC,2022-06-13,3479,2022-06-30,3,11593
206,TextComment_CC,2022-06-14,5332,2022-10-28,3,1004
207,TextComment_CC,2022-06-15,7362,2022-07-06,1,465
208,TextComment_CC,2022-06-15,6465,2022-08-09,1,1709
209,TextComment_CC,2022-06-15,3524,2022-11-10,15,8310
210,TextComment_CC,2022-06-17,1729,2022-06-21,1,3360
211,TextComment_CC,2022-06-17,1866,2022-06-28,1,5575
212,TextComment_CC,2022-06-17,3884,2022-07-25,1,1882
213,TextComment_CC,2022-06-17,1688,2022-11-29,2,398
214,TextComment_CC,2022-06-20,3803,2022-06-28,1,5088
